,angle,distance,servo
128,5.22807923280989,255.5,90.0
129,5.2768939103266055,257.0,90.0
130,5.272803294892244,259.5,90.0
131,5.29243824897718,263.75,90.0
132,5.40179403492245,693.75,90.0
133,5.425246896746124,683.75,90.0
134,5.471334497306599,638.75,90.0
135,5.496969020695266,623.75,90.0
136,5.522330836388308,610.0,90.0
137,5.54496557512511,596.75,90.0
138,5.5689638523400316,583.75,90.0
139,5.594598375728698,572.75,90.0
140,5.617778529856748,562.0,90.0
141,5.866215240570316,404.75,90.0
142,5.89566767169772,398.5,90.0
143,5.916393456565153,395.25,90.0
144,5.94202797995382,392.75,90.0
145,5.962481057125628,391.0,90.0
146,5.987024749731798,390.5,90.0
147,6.010477611555473,389.75,90.0
148,6.036657550335387,389.5,90.0
149,6.055474381333451,391.0,90.0
150,6.082472443200238,392.75,90.0
151,6.102925520372047,395.25,90.0
152,6.126651089891345,398.25,90.0
153,6.144922505498161,402.25,90.0
154,6.171647859669323,407.25,90.0
0,0,0,0
0,6.194282598406125,413.5,85.0
1,6.212008598621693,421.75,85.0
2,0.018544123302439753,473.5,85.0
3,0.038724492778624185,473.0,85.0
4,0.06654067773228381,473.0,85.0
5,0.08890270877346117,473.5,85.0
6,0.11017390903214205,474.0,85.0
7,0.1325359400733194,475.25,85.0
8,0.15435255572324852,477.0,85.0
9,0.18189603298128404,478.25,85.0
10,0.2026218178487167,480.0,85.0
11,0.2222567719336529,482.0,85.0
12,0.2500729568873125,483.75,85.0
13,0.27352581871098636,486.0,85.0
14,0.29179723431780197,488.25,85.0
15,0.37279141991816384,688.0,85.0
16,0.3967896971330859,680.25,85.0
17,0.47451139038595835,554.5,85.0
18,0.5200535755551854,530.5,85.0
19,0.5448699758569797,536.5,85.0
20,0.5939573610693203,888.75,85.0
21,0.6165920998061217,901.25,85.0
22,0.6416812078035402,916.0,85.0
23,0.6643159465403417,930.5,85.0
24,0.6855871467990226,946.0,85.0
25,0.7093127163183205,964.5,85.0
26,0.7327655781419943,973.25,85.0
27,0.7556730245744199,986.75,85.0
28,0.799033548178654,1050.75,85.0
29,0.868301302867179,1130.25,85.0
30,0.8914814569952286,1161.5,85.0
31,0.9130253649495337,1195.0,85.0
32,0.9364782267732075,1229.75,85.0
33,0.9593856732056331,1264.75,85.0
34,1.0032916122011153,1348.5,85.0
35,1.1870965990517681,1721.0,85.0
36,1.2353658611772365,1667.25,85.0
37,1.258546015305286,1668.25,85.0
38,1.2811807540420876,1656.0,85.0
39,1.3043609081701373,1644.5,85.0
40,1.3280864776894352,1635.0,85.0
41,1.3512666318174849,1622.75,85.0
42,1.3747194936411586,1612.75,85.0
43,1.3984450631604566,1605.5,85.0
44,1.4218979249841304,1595.5,85.0
45,1.4458962021990525,1588.75,85.0
46,1.4671674024577332,1585.0,85.0
47,1.4903475565857829,1580.0,85.0
48,1.5132550030182086,1573.75,85.0
49,1.5367078648418824,1572.0,85.0
50,1.5596153112743079,1570.75,85.0
51,1.58361358848923,1571.0,85.0
52,1.6070664503129037,1570.25,85.0
53,1.629155773658457,1567.75,85.0
54,1.6523359277865066,1568.75,85.0
55,1.6760614973058046,1571.0,85.0
56,1.6989689437382303,1575.0,85.0
57,1.722421805561904,1580.5,85.0
58,1.7453292519943295,1587.5,85.0
59,1.768236698426755,1591.75,85.0
60,1.792234975641677,1594.5,85.0
61,1.8143242989872304,1602.25,85.0
62,1.8377771608109041,1614.5,85.0
63,1.8617754380258262,1626.75,85.0
64,1.8838647613713795,1635.25,85.0
65,1.9078630385863016,1644.0,85.0
66,1.930497777323103,1656.5,85.0
67,1.9539506391467767,1670.25,85.0
68,1.9765853778835782,1686.5,85.0
69,1.9994928243160037,1705.5,85.0
70,2.023491101530926,1719.25,85.0
71,2.0463985479633515,1735.0,85.0
72,2.069305994395777,1760.25,85.0
73,2.091668025436954,1786.25,85.0
74,2.115120887260628,1804.75,85.0
75,2.1377556259974297,1825.75,85.0
76,2.1612084878211033,1841.5,85.0
77,2.183843226557905,1865.25,85.0
78,2.2078415037728267,1902.75,85.0
79,2.2307489502052524,1936.25,85.0
80,2.253383688942054,1973.5,85.0
81,2.2986531664156566,1940.0,85.0
82,2.321287905152458,1980.25,85.0
83,2.3673755057129338,2127.25,85.0
84,2.3908283675366073,2089.5,85.0
85,2.4142812293602813,2064.75,85.0
86,2.4366432604014587,2062.5,85.0
87,2.459550706833884,2072.25,85.0
88,2.483003568657558,2095.5,85.0
89,2.528545753826785,2201.5,85.0
90,2.5964499700371895,2536.75,85.0
